Damage,IsBodyShopRepair
Electronic brake control probelem.,N
,N
MECHANICAL PROBLEMS,N
,N
NONE,N
no damage,N
CHECK ENGING LIGHT,N
NONE,N
VEH1 WILL NOT GO INTO DRIVER.,N
,N
NO DAMAGE. CALLER IS ONLY CALLING TO OBTAIN RENTAL VEHICLE FOR BUSINESS RELATED TRAVEL ON 01/10/2010 AT 155PM AT DALLAS FT WORTH AIRPORT.,N
flat tire,N
,N
PASSENGER FRONT TIRE IS FLAT.,N
,N
,N
,N
,N
N/A,N
,N
,N
,N
,N
front left quarter panel,N
Right front bumper,N
,N
,N
,N
,N
PASSENGER SIDE TIRE FLAT,N
,N
,N
"tractor has minor damage
trailer  none  #535177",N
none,N
,N
,N
TEST,N
,N
,N
,N
DRIVER SIDE MIRROR CASING IS CRACKED ALONG WITH THE GLASS IN THE MIRROR.,N
front bumper in the center is pushed towards the center. rear bumper is also pushed in as well.,N
,N
,N
,N
,N
,N
front and rear license plates are missing off of vehicle,N
,N
,N
the driver side molding leading from the front tire to the rear tire is loose.,N
,N
front bumper and grille scraped and dented,N
,N
,N
driver side mirror housing only is torn off. still usable.,N
,N
,N
"Will not start - need a jump/possible tow

",N
,N
"scrape on driver rear wheel, paint scrape is down to the metal, tire is intact.",N
,N
,N
,N
,N
,N
,N
,N
"the traction control light is on, even though the switch is off. the check engine light is on, a diagnostic was performed and a code came back as PO305, which could either be a faulty oxygen sensor or a misfire in cylindser 5",N
"the keys are locked in the vehicle, they are in the ignition but the vehicle is turned off",N
"deep scratch on the driver side fender, small dent on driver side fender",N
16 in. scratch on the passenger side rear door,N
passenger side fender is dented,N
,N
NONE,N
,N
stuck in mud ,N
"front windshield has a pin size chip, smaller than a dime. not in the driver's line of sight.",N
"crack about 2 1/2 feet on the driver's side of the windshield- does impair driver's line of sight, can't be covered by a dollar bill",N
NONE,N
,N
,N
Driver side windshield chipped,N
INJURY ONLY. OUTSIDE OF VEHICLE,N
,N
NONE,N
"Passenger side sliding door, doesn't open. ",N
,N
Passenger side rocker panel is scratched. scratch is under the passenger side doors about a foot long.,N
,N
,N
,N
,N
middle of the rear bumper is dented.   driver side fender is dented. ,N
,N
,N
,N
,N
,N
,N
,N
NONE,N
,N
,N
"passenger side running board detached, rear bumper has clips detached and is hanging slightly (not dragging on the ground, still safe to drive)",N
,N
,N
,N
,N
,N
,N
stuck in the snow,N
driver's side rear corner bumper-dented and broken,N
,N
,N
,N
,N
KEY HAS BROKEN OFF IN THE IGNITION.,N
,N
,N
,N
,N
dent on the front bumper on the driver side,N
,N
"the latch on the center console on the inside of the vehicle is unhinged from the console. 
",N
,N
,N
,N
seam split on top of box in the front,N
,N
,N
,N
,N
leaking radiator fluid. crack in bumper (underneath),N
"dents (from hail) on the roof, hood and the ""B"" pillar just behind the driver side door",N
,N
,N
,N
,N
,N
,N
,N
,N
,N
"bent license plate, cracked license plate mount",N
passenger side front fender dented in,N
keys locked inside vehicle. keys not in ignition.,N
,N
Driver door will not lock from the outside.,N
,N
,N
,N
unknown,N
"Keeps shutting off, engine light comes on. Water gauge goes to about 260",N
,N
,N
,N
UNKNOWN,N
,N
,N
,N
"grille dented in, front bumper and hood, vehicle overheated, leaking fluids",N
,N
Driver's body damage - vehicle rolled over on the driver's side - exact damages are unknown. ,N
"Front bumper is rusted, driver's side fender rusted and paint chipped, driver's side rocker panel is rusted and scraped, driver's side quarter panel is chipped, dents on tailgate, passenger side quarter panel is chipped, passenger side fender dented, paint chipped and rusted, hood is dented. ",N
"front bumper rusted, driver’s side door, cab & quarter panel has paint chip, driver's side rocker panel is scraped, passenger side quarter panel paint is chipped, passenger side door is rusted and has paint chipped, passenger side fender is rusted, hood has hail damage",N
"front bumper rusted and chipped, driver's side fender minor paint chips. driver's side door paint chipped, driver's quarter panel rusted, passenger side quarter panel is rusted, passenger side door is dented. ",N
"Front bumper is rusted, driver's side quarter panel is rusted, tailgate is rusted, passenger side quarter panel is rusted and dented, passenger side door and cab have deep scratches, hood is dented & chipped",N
"passenger side: rocker panel is scraped under front and rear doors., front bumper is scraped by fender, a scratch on fender.  smoke order",N
,N
KEYS LOCKED IN THE CAR WITH THE CAR RUNNING.,N
,N
scrape on the middle of the rear bumper. ,N
,N
driver side mirror dangling shattered.,N
front bumper dented and headlight cracked,N
,N
unknown damage to passenger side rear corner of the truck,N
,N
,N
NONE,N
,N
,N
,N
,N
,N
From the rear bumper passenger side to front bumper is highly and extensively damaged. Driver's side impacted guard rail. Driver's side door is bent in extensively and was impacted into vehicle. The entire front end of vehicle is extensively damaged. ,N
NONE- Jumpstart assistance,N
,N
,N
,N
,N
license PLATE IS EXPIRED. THERE IS SOMETHING WRONG WITH THE MODE ACTUATOR. DRIVER REQUESTED A RENTAL.,N
,N
,N
"NONE-JUMP START ASSISTANCE 

POSSIBLE TOW: FIRESTONE COMPLETE AUTO CARE
 7902 Brewerton Rd. CICERO, NY 13039",N
,N
,N
,N
,N
,N
unknown,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
none- Jumpstart Assistance/possible tow,N
DRIVER,N
