clean_review,y
nice ok hand ok hand ok hand ok hand ok hand super fold hand fold hand fold hand fold hand,1
cute mobile,1
awesome product low price,1
nice product pricerecomend require phone below7kbattery gooddisplayui goodsound quality fairly loudcamera quality good pricevalue moneyone downside fingerprint sensorbut face unlock facility fast enough,1
superb,1
good mobile,1
greenland pic take run train 110kmhrhonest review1only smartphone provide sd855 23k2best camera setup see midrange phonesawesome pic selfiebelieve I 32mp selfie pic quality phone rubbish 64108megapixel camera setup phone fake software tunning matter wanna check pic samsung galaxy series 12mp camera wich give well stunning pic 64mp3 only18watt charger box 085 char,1
good,1
good smart phone,1
good,1
fantastic set,1
nice phone I buy 7999 price high,1
good,1
good,1
nice fantastic product I love product I suggest buy nice product I buy green colour product I love product,1
cost high battery backup nod bad fast charging cemeara good sound good,1
good mobile,1
nice phone,1
good phone,1
nice phone,1
super good job,1
superb victory hand ok hand,1
creative picture ritik verma ji,1
good budget mobile ctype charger,1
good product,1
I satisfy,1
good product,1
good phone littel bit heat,1
nice,1
awesome good performance,1
super nice product good camera super future moblie good,1
beautiful,1
good battery backupbetter camera redmi 5 prodisplay amazing notch vlbut awesomesecond one fast delivery flipkart ekart service awesome,1
good,1
camera awesome,1
nice mobile,1
nice phone good battery life amazing design camera well really satisfied camera quality disappoint face,1
receive describe,1
delivery boy excellentperfect value time,1
okay price,1
good phone,1
thank,1
phone nice value money phone,1
good,1
nice mobile,1
average,1
awesome product give review almost 89month go,1
good mobile,1
brilliant product thumb ok handthis really good producti impress smartphone flipkartbest flipkartmust buy classy productvery nice product costkeep flipkarti happy flipkart experience smile face smile eye smile face smile eye smile face smile facethank flipkart,1
nuce,1
second purchase good mobile,1
nice phone,1
good product,1
nice product,1
good quality super camera quality good battery backup love,1
good,1
good,1
well phn,1
well price range ok hand thumb,1
good product reasonable price,1
excellent mobile price camera quality good,1
nice,1
average mobile mi overall performance well battery capacity satisfied much I think good choice ladieshighlight product design well every mi phone thumb thumb,1
overall good thumb upin range,1
phone really nice camera clarity amazing even display crisp day use phone really comment battery life good far really good feature price ok hand,1
one cheap good smartphone type customer type customer buy smartphone redmi 4a good phone comprisionally company,1
superb,1
nice,1
nice phone clear photo,1
awesome phonebut I buy byt axis bank flipkart credit card cost emi charge interest itscam,1
nice product,1
good quality nice camera super performance,1
nice mobile,1
superb phone,1
awesome,1
premium look also premium feel phone miui 125 update come soon os also become premium screen quality premium battery drain fast maybe osmultimedia user love I play heavy game comment game overall I love phone much,1
excellent,1
super cute order nice,1
value money,1
nice mobile must buy,1
good,1
nice mobile battery also good volume also good,1
nice,1
fast delivery good mobile,1
nice prodecti like product,1
nice handset,1
good,1
phone good foto goodcharge goodkalar gooddj good,1
awesome red heart red heart red heart,1
bad,1
value money product,1
nice,1
ammese product packaging also high quality,1
good phone nice battery wake nice camera nice music good price xiaomi xiaomi good india ka phone,1
right awesomewait review 1 month,1
10 day since I use phone work good yet battery go day enough juice display goodcamera bit low side bad average precise ram management also good good thing snp 665 powerful power efficientso u tight budget u go phoneoverall good phone attractive feature,1
super quality I use one year also work like new mobile super,1
good product,1
I buy sista amazing one love smile face hearteyes smile face hearteyes,1
great phone,1
nice product,1
nice working,1
superb phone,1
space phone strong lovely colour little touch problem,1
value money happy product good handle,1
awesome phone sign hornsgood purchasecamera quality also much goodapp running also good satisfied product starstruck starstruck,1
good product,1
nice phone I love,1
good,1
osm smile face hearteyes smile face hearteyes smile face hearteyes smile face hearteyes thanku much flipcart,1
good mi mobile battery work long long long time I love mobile mi like brand xiaomi,1
nice product,1
nice,1
nice product time dispatch,1
njce,1
good,1
photo shoot redmi 8,1
awesome look,1
I happyness,1
nice,1
nice phone,1
good,1
nice good flipkart backhand index pointing leave thumb thumb thumb thumb thumb flag flag flag thumb thumb flipkart apni dukaan,1
nice stock android phone compact lightweight excellent battery charge stay 2 day moderate use display bad could bettercamera great good value money purchase could solid phone another 2 year,1
nice product,1
nice product suitable,1
camera good battery backup moderateperformance goodoverall good producti gift gf like smile face heart smile face heart,1
good price,1
excellent battery,1
nice product,1
good mobaile,1
excellent,1
goid,1
good phone price phone feel quite heavy bulky sleek camera good quite good focus micro object battery life good black colour look classywell one day usage review let see phone perform 6 month heavy usage,1
superb,1
good phone value good camera also slow motion video feature spec really nice battery life full day movie view last around 18 hrs really satisfied product timely delivery buy along flip cover screen guard 138k big billion salebut relate accessory flip cover screen guard deliver together shopping experience could even well,1
thank flipkart time delivery camera gooddisplay good battery good performance nice thank,1
good mobile thank flipkart,1
good,1
awesomeeeeee lovedd itit get standardsdidnt expect low price,1
nice phni use phn 1 yearsit powerful battery performance,1
product good mobile lightly weight,1
good,1
good thumb thumb thumb thumb thumb,1
nice,1
good,1
overall mobile great cost performance come camera comparable oneplus 6 also image processing good sharpness picture good compare oneplus 6 night mode also poor,1
first I would like say amazing phone great feature great battery performance great price range I shit scared I read negative comment buy phone everybody state phone heat like oven actually regular heating smartphone even find unusual bearable I mind heat ofcourse play graphic extensive game like asphalt 8 surely heat u,1
good1,1
awesome,1
could much well,1
good mobile phone mid range highly recommend good camera good battery backup nice finishing go,1
good,1
excellent,1
nice phone good product pack,1
good phone,1
superbbbbb mobile camara awesome I love,1
I heppy nice phone,1
nice ok hand,1
nice,1
good,1
good,1
super,1
good,1
nice mobile,1
awesome thumb,1
I love mi,1
phone really awesome price point everything perfect except front camera little disappointing low light sideline bear mind good rear camera great spec lag free operation beast price segment rn7pro red heart red heart red heart,1
good,1
nice product value money,1
good mobileproblem battery sufficient,1
good job,1
value money battery backup good,1
I expect price one mobile available infinix hot 8 6999 redmi need less price coz hot 8 give feature 6999 I reduce 1 star due price,1
good mobile,1
good thumb,1
good,1
get 11700 good price point,1
awesome product must,1
good,1
cool one,1
nice,1
os miui pathetic go clean stock android base android one phone,1
great phone within price segment camera great everything good camera pro mode performance also upto expectation segment heat lillte bit play game use camera long display much well previous note series phone run pretty smoothand audio output also upto mark battery also great drain issue far run almost day overall great update note series one say good note note 3,1
good,1
nice,1
negativepoor quality camerausb port mobile tightavailable internal memory 874gbthere headset mobile head set supportpositiveprice goodwe insert memory card dual sim together,1
cheap good pocket friendly,1
excellent value,1
super,1
good deal,1
superb phone pure andriod good camera good master piece camera smile face sunglass,1
mst quality product,1
owasam,1
nice phone charger low quality,1
review one week use1camera superb 2battery back good3display great4look super beautiful I white color5fast charge available need buy fast charger6little lag use camera 48 megapixle,1
review 4 month usage phone really really worth every penny perform price good camera sd 660ai joke still price phone hard beat good well rival honor 20i really amazing phone see good phone camera tweek know use pro mode actual picture quality good portrait mode also detailed blur level really fascinating selfie cam,1
well redmi note 7pro awesome phonejust focus pro consprosawesome cameragood battery lifegreat designbest quality screengreat gaming experiencefast charge supported4k video record supportedgreat image stabilizercons10w battery charging adaptordedicate sd card slot missingconclusionawesome phone affordable price u love photography love phone,1
excellent product,1
overall bad,1
good product good fast delivery flipkart thank,1
good product,1
need 5 g price upgrade fast,1
pouch phone box,1
nice phone,1
unbox nd reviewyoutubegadgetslibrarygenuine review,1
bahut hi achachi mobile thank flipkart,1
phone niche camera specially poterate mode front camera phone battery backup also good feature work well 1 thing disappointing I try 5 time mean I wait 5 sale book phone good buyer buyer get frustrated buy smartphone coz problem,1
comfortable use fit palm decent camera decent battery backup miui battery saver add 3 4 hr extra usage,1
great affordable price keep good work,1
excellent phone price point good feature great look two thing I would like phone gorilla glass b fast processor may qualcomm snapdragon 820 little price otherwise great product,1
mi always charge issue phone mi 2nd phone horrible experience charge,1
suparb,1
pro 1 slim design2 well display3 budget segment good phone necessary sensors4 decent battery baccup 5 good sound6 fast fingerprint face unlock7 good miui awesome features8 full view display9 good cameracon 1 miss notch2 miss fast charging like quick charge 30 dash vooc3 battery need increase per display size use like redmi note 4 55 displayie 4000mah4 usb type c port need use model5 p,1
nice product,1
good,1
superb,1
thank flipkart,1
nice one still work,1
nice,1
good product,1
great phone newbie,1
good1,1
I use 6 day I love red heart,1
ok,1
super two heart,1
nice phone,1
nice,1
complete mobile,1
good phone nice product,1
amazing product,1
awesome phone hugging face hug face,1
god,1
nice mobile,1
good product,1
7days purchase I feel like good rangebut sensor little bit slowphone look good phone comfortable every one I fully satisfied camera performance phone completely decent,1
awesome mobile price range,1
brilliant smartphone budget,1
redmi ok hand ok hand ok hand ok hand,1
nice,1
excellent rs8000,1
camera good,1
nice phone price value money,1
nice product,1
super,1
good,1
good,1
really unpexte happy,1
good,1
I like,1
nice phone good product pack,1
I like product nice mobile I like thank youflipkart,1
good phone,1
price worthy product good battery back,1
makasm good phone within 15kgo buy worth money,1
well mobile,1
good camera good performance mobile look nice,1
good product,1
nice unbelievable affordable price clapping handsgood,1
cheap nice,1
good,1
good smartphone 10000rs,1
beautifully craftedthe phone look great display dull display color saturation issue look dull brightness also low I know redmi reduce brightness though big battery camera poor especially front one lack detail processor slow job somehow ota update resolve issue I guess,1
superb phonewith good battery48megapixel camera excellentwonderful displayamazing speedi play pubg game smoothly deviceno hang problemi satisfied phoneredmi note 7 pro tuff competitor phone budget phone category,1
awesome product,1
worth fo money,1
good product,1
good,1
nice,1
good,1
nice product,1
excellent performance good battery power fast processor affordable rate,1
great,1
simply super mobile camera super budget justify 10000,1
nice value money,1
nice one victory hand,1
I impressed u definately buy thisbelieve I I lot research available u try poco x2,1
one good phone specially gaming,1
god,1
amazing device absolutely amazing,1
nice,1
good phone battery backup 1 day,1
thank fast delivery,1
nice mobile thank xiaomi,1
product good deliver time complementry accessory set mobile charger I receive good conditionservice flipkart highly appreciated I continue shop flipkart hope good offer service,1
good,1
awesome look great performance amazing camera camera battery little bit disappointing five finger thus phone overall great phone great look amazing camera cameranothing regret recommend buy,1
good price high remote lead small,1
amazing thumb thumb smile face hearteyes starstruck starstruck,1
nice phone range bellu money I love,1
nice mobile phone,1
good product,1
superb performance camera amazing battery life well phone download upload speed good seller good person responsible delivery boy good behavior good thank seller,1
nice phn,1
allready I redmi 8a dual I buy,1
worth money,1
feel sorry people simply pay 1k extra grin face sweat,1
good phone domestic use,1
everything good except weight little bit heavy,1
good mobile price,1
good product budget,1
nice phonegoodperform,1
product good price range I gift someone love performance good nice camera quality single sim use drawback I find sd card space multi use space sim slot well though decent phone price apart flipcart deliver product schedule date I pretty much happy solve purpose buy urgent basis thank,1
phone good delhivery courier company give parcel diley courier company,1
reasonable price good mobile processor camera hd battery excellent phone outstanding ok hand victory hand,1
value money nice product get battery pick camera good price truly recommend,1
nice,1
redmi super mobile,1
ok,1
good product ok hand,1
good,1
nice,1
super,1
nice mobile redmi price range full paisa wasool,1
super,1
excellent product quality,1
good product must buy,1
one excellent phone medium range I happy convenient use function easy operate thank flipkart give sach nice phone,1
good product,1
buy mom love much highlight point mobile stylish look battery performance recommend normal user gamer,1
osm thumb,1
super,1
good phone,1
nice,1
good product,1
awesome phone,1
worth money,1
super,1
nice phone,1
everything fine I find phone heat play pubg hope update solve problemone hdr hdr,1
phone build quality greatcamera average expect 7k332 enough haevy customize ui miuicolor option optionbought sistershe pretty happy phone,1
nice mobile,1
one good purchase life simply stunning 7999 ask well,1
nice product,1
camera mark,1
good,1
performance good battery average display quality good,1
good,1
good,1
good,1
good,1
good,1
good,1
good range,1
please give I super coin type order get 100 super coin give super coin,1
imagine good ok hand I gift son happy phone thank flipkart smile face smile eye,1
superb,1
osm,1
impressive look smile facebattery disappoint zero stardisplay goodcamera nice video capture phone hit issue,1
nice productsbut like china flagproductsvery good flipkart service,1
good product,1
nice mobile,1
nice,1
nice maid china,1
good love product,1
awesome camera thumb thumb thumb,1
nice brand,1
nice phone,1
redmi redmi price goodyou compare realme good else I trust,1
tq flipcart,1
nice phone,1
awesome experienceb class camerathis phone light fireone good phone I hv ever see everything flawless worth buy I love red heart,1
good,1
well smartphone price value money camera perform good day light condition little bit feel havey due glass pack body processer sd660 perform well high definition game like pubg battery 4000mah,1
nice device low budget,1
function good camera thik thank hai value price osm,1
excellent phone pricebattery backup b ok handonly problem I face I get ant back cover,1
awesome classy phone premium quality finish 855 processor give excellent fantastic performance camera quality perfect good premium phone market price sure I put absence memory card slot con since premium phone simply go need premium phone,1
good delivery systemand phon amazing,1
goog quality,1
nice ok hand thumb product ok hand thumb,1
flipkart service excellent delivery boy behaviour excellent service also excellent flipkart good shop,1
good display quite heavy performance good cause sd660 ui poor laggysoo uu stock android fan buy itcamera much mentionand poor lowlight conditionotherwise good budget phone also like zenfone max pro m2 love mi ui,1
excellent battery backup satisfactory camera quality high quality processor,1
everything good except fingerprint scanner slow,1
beast,1
display grab attention I switch phone since screen quality actually good phone come fast charger ctype cable lead fast charging good thing 4000 mah battery keep phone go design phone remarkable support volte sim make easy switch data connection two different sim ram distribution nicely since keep memory application whe,1
nice one,1
good,1
close eye cam buy super duper exelent 1 mind blo2e,1
good,1
super,1
good mobile,1
good,1
nice,1
excellent set,1
good,1
awesome build quality,1
perfect,1
thank flipkart,1
value money,1
second purchase good mobile,1
nothing new except smart processor,1
awesome quality product wonderful work nice quality wonderful,1
nice packaging propt delivery,1
value money product,1
decent product price range look beautiful elegant performance clip alright everyday use,1
nice,1
thank flipkart give great exchange value redmi note 4 note 7 pro great performer excelent phone,1
mobile good bad,1
nice mobilegood camera portrait photographybattery also goodi prefer buy,1
good mi smart phone price 1399000 thanxs flipkart fast deliver within 2days order 13th march receive 15th march lucky get device flash sale pro premium look sleek design amazing notch display excellent 48 mp camera video recording user friendly gesture battery perform well normal usage ir blaster also nice feature use mobile remote device tv set box ac remote fan remote con need time understand,1
nice product,1
valuable price money performance etc,1
value money phone good part note 6 pro camera 125mp ai front 202mp test processor also come note 5 pro notch display new look cool overall good handset premium look I buy 6 gb variant fast,1
good aspect,1
hit problam,1
good phone value money,1
good,1
awesonenot badgood phone,1
good mobile,1
happy,1
phone good qualityand good price,1
good,1
nice phone great reasonable price margin camera goodno heating issueand stylish phone u want stylish phonepls go second thought,1
good love lite design importantly normal user,1
good mobile low price camera quality good battery backup good ram management good I like new processor I love redmi mobile,1
well value money,1
product good give price sound quality great,1
good,1
super,1
gift sweetheart beat heart happy,1
nice product,1
awesome product,1
must buy,1
6month,1
good phone,1
great product,1
good phone,1
good,1
good mi,1
good powerful performer 8k budget I give gift father really enjoy good capacity perfect camera price range,1
nice smart phone camera bad 5 mp,1
worthy,1
nice phone good product pack,1
awesome,1
outstandingclose eye purchase ok hand victory hand red heart two heartscamera hundred pointsperformance hundred pointsbattery hundred pointsdisplay hundred point,1
well mobile,1
I buy mobile rs 8500 relative good phone price segment issue find till,1
nice phone good camara battery backup upto 15 day,1
nice value money,1
nice,1
phone,1
good,1
good phone,1
good,1
superb product worth money every one must buy good moble under10000,1
I help someone special purchase phone phone reach hand happiness worth every bit hardwork I purchase phone although difficult purchase phone level difficulty purchase phone reason happiness take phone finally hand thank tough get purchase happiness,1
good,1
I think buy similar spec redmi note 9 pro max difference camera 48mp charger 18 wattare ulow budget good option,1
well budget mobile bestpros1 battery life excellent last three day use mobile average 2 face unlock easy3 snapdragon processor enhance performance well4 compact outfit5 quick chargingcons1 fingerprint sensor lock unlock2 camera quality averageoverall I give 4 5 rating,1
good mobile mobile phone mobile phone arrow,1
good lookingnice,1
good,1
good ameze good value,1
super,1
smooth performance nice camera value money amazingly nice colour spacialy moonlight white look like flagship phone,1
I say buy u play pubg regularlythis device mean pubg high graphic gamesso I recommend buy handset want use daily purposeoverall good,1
bad,1
happy productluckily product got deliver happy flipkart grinning faceeven 3 mnth use I must say phone good class although u may get many competition price range true rounder one con I find plastic body back top bottom end scratch easily well use case always keep ur phone rough surface without back cover although scratch minor notice,1
good mobile I like,1
super protect worth money,1
charge drop fastly already replacement another phone also problem poor backup low,1
good phone range 3 month phone available 247 weekly sale available phone awesome budget phone,1
good phone display work nice,1
nice mobile redmi thank much flipkart delivery time good communication without locator supplier good performance good patience time delivery thank,1
nice,1
daily life work well start game like pubg minute phone heat face lag come 665 processorthis processor make heavy gaming daily life phone work well thumb,1
nice product,1
excellent product value money,1
super phone nice,1
nice product value money,1
well mobile range I buy mom happily use infact enjoy video calling though I like product I never recommend buy chinese product choice,1
good phone around 95 k segment spend would worth particular phone two rear camera back must hear hype 48 megapixel camera accord I justify picture quality give 48 megapixel camera accord price point device sell around 9 95 k include bank offer good deal talk sp,1
nice work mobile,1
excellent,1
worth money spend item,1
I use phone since last one year phone work good xiaomi always deliver quality product camera fine lot mobile phone manufacturer deliver efficient effective camera last product value money,1
ok,1
buy first sale make 30th april receive 3rd may delivery gooduse since week dual sim 3 g 1st sim 2 g second simover look 10 10 light weight handyover speed 9 10 octa processor rock 2 gb ram require 3gbover function 9 10 need additional sensor like infrared lollipop rocksover audio 5 10 satisfy audioover battery life 8 10 avg use dual sim wifi battery l,1
awesome product price rangesoi say everyone product good delivery system fast expect,1
good phone price tag,1
awesome phone thank flipkart,1
unexpected,1
super phone I gift dad happy give normal call 4 5 day single charge,1
good price add thousand get far well device like redmi 4,1
exellent,1
good quality,1
wowit amazing heart touch smartphone really love otherwise smooth properly perfect buy,1
superb ok hand ok hand,1
nice phone range bellu money I love,1
budget smartphonebattery backup excellentand overall good product,1
beautiful prduct,1
cool,1
good mobile,1
excellent product,1
super,1
nice camera nice battery nice mi phone I love,1
nyc,1
ekart fast delivery thank flipkart,1
happy see thisthis buy baby gift I bday giftso happy smile face smile eyesthis really goodthank flipkart smile face smile eye,1
average,1
great product,1
nice,1
good,1
really amazing phone,1
good mobile,1
nice,1
nice,1
nice product,1
super,1
good option,1
get phone 12k delivery quick flipkart mi4i light handsome mobile initially heating problem miui ota update seem like heating problem reduce application working performance wonderful display brilliant get good camera I feel upto mark also u get headphone pack flipcover 4 starsto mention antutu benchmark score near 40k also excellentt,1
awesome budget phone feature high budget phone,1
must buy flipkart awesome I love red heart,1
excellent phonego,1
verry nice,1
nice,1
nice product,1
nice awesome mobile worth moneynice looking display superb side fingerprint sensor wow use advanced version optionsbuy phone full believe satisfy great looking,1
I think buy similar spec redmi note 9 pro max difference camera 48mp charger 18 wattare ulow budget good option,1
nice product,1
perfect I I love red heart,1
I good pic reviewbt back camera good show herephone nice overall,1
mobile good prize range accept front selfi camera flash light selfi,1
awesome camera,1
good purchase awesome specification great quality worth buy get good condition,1
thank,1
I write review 12 day usage phone excited I know people fall love note 7 pro I plan note 7 pro go 4 gb 64 gb shapphire blue I tell steal heart awesome phone fully clock soc sd 660 ai 22ghz processor play awesome pubg game hd graphic without lagit camera quality also awesome look picture shoot redmi note 7 lag bui,1
nice,1
nice camera,1
spec good processor old confused face,1
I gift sister love,1
good phone good price,1
good product,1
bye flipkart,1
good camera good process good display mary good,1
nice product starstruck,1
I get interesting amazing battery backupthis phone good low budget I would also prefer buy,1
good,1
nice mobile,1
good,1
great performancemassive batterysuper camerasuper displaysuper stylingsuper big screen,1
good picture quality,1
lucky booking book phone 1257pm sale someone might cancel order feel lucky,1
thing goood mobile I really happy buy mobile I suggest u buy mobile really good yr,1
good budget phone price range 8k good student mother con bulky mi third party app notification,1
phone one lacuna heat charge,1
brillient deal good mobile rs 10999,1
nice one range go,1
great phone premium look good performance battery department price segment display game changer well segment r camera sample himachal pardesh kangra arla,1
awesome starstruck,1
good phonenice display long battery life good camera 4 gb ram large storage decent price highly recommend,1
great price everything finebut wide angle camerau well go another mob u r camera lover,1
ok,1
nice product,1
good performance phone day get 11000 r well phone good battery backup also redmi note 4 gorilla glass carve I thing get good phone less amount,1
super,1
battery display camera reaily good I use redmi 3s redmi 4 redmi 6pro redmi 8 awesome I first time charge battery slow charge software update work well battery work 3 4 day I give 45 5 love redmi 8,1
nice phone,1
good,1
good price,1
camera good battery performance good,1
nice,1
look nice camera quality good,1
good,1
I like phone good display nice slim fancy look camera quality also good I use 6 day till battery work nicely surf net continuously watch vdo also battery last 15 day sometimes little phone swift far observe lagging charhe phone make get little hot sample photo understand quality camera,1
nice gameplay mobile bajet,1
nice redmi 7 well look phone camera,1
update miui camera performance improve ultra thin feather weight amazing design easy hold great value money,1
I buy product wife use since last week I find performance good battery life good 5000mah battery one full charge give 1 12 day usage though wife use heavily mostly phone use study work child watch youtube facebook till I find performance satisfactory overall good product,1
good mobile,1
nice phone price 7999 highly recommend purchase,1
nice,1
excellent phone,1
good mobile budget phone problm camara quality overall good I recommend buybattery wonderful 12 hour continue work possible good budget,1
preorder I receive mi11 lite yesterday morning one day use I definitely satisfied productthk u xiaomi camera _ gooddisplay _ excellentlook _ premiumbattery goodover good smartphone price segment,1
super,1
sd 660 464 52 gb usable memory 8999 bank discountgreat back camera default api enable full fledge pro mode attach image laterai mode job front back cameravideo stabilization excellent 1080p 30fs decent job 60fps well 120fps slow mosnappy processor pubg hd modesignal reception also greatdecent battery backupgreat build qualityin box charger type c usb cable handset tpu coverthi,1
I ist say mi a3 run smooth especially display quality also awesometouch experience superbi little disappointed battery backup I think 4000 mah battery instal enable power saver good camera picture quality awesomeso I give 4 5 lovely experience,1
use since almost year believe I I want beast budgeteven I attract towards note 6pro 7pro I feel one amazing performance problem yet camera ask visit insta amiya_kar know game pubg call duty together run smoothly I word explain charisma,1
nic mobile,1
camera performance superband delivery super fastthe handset little bit heavy big issueu see camera sample,1
good productawesome experience buy useful I nd easy handle ph fastthank flipkart,1
ok,1
good product money high,1
launch around march2019 still consider good camera even compete current phone budget midrange category I watch lot camera comparison video youtube decide buy phone check gsm arena website tech4mob youtube get bright view phone good phone buy till date,1
I gift phone girlfriend happy tell I mobile user friendly awesome,1
nice product mi,1
nice thumb,1
good,1
nice awesome productbattery backup always gooddisplay screen quality super 3gp ram 64 gb internal storagebetter price rangethank flipkart,1
good,1
purchase terribly elegant white xiaomi mi4i cod last week flipkart must say fantastic experience smart phone look smart act smart well sense absolutely worth money spend I think early I face problem ekart service delhivery must well tripti pune,1
nice product must buy,1
good product,1
good,1
2 year still good new,1
awsm love,1
nice attractive phone budget segment,1
nice mobile battery also good volume also good,1
really awesome thank flip kart,1
must buy,1
good mobile,1
customer happy,1
first many many thank ekart logistic parcel courier service flipkart unbelievable fast fast deliver within 21 hour exact odered time doorstep wishmaster ekart executive happy handover verife I I open box really surprise everything good box,1
good,1
phone awesome flipcart delivery bad show 12 march phone come 14 march,1
nice mobile amazing feature,1
awesome ok hand handshake flipkart,1
good phone tnx flipkart,1
best phone price thumb,1
phone awesome dude worthy gift wrap gift wife display quality faadu I mean jhakaaash go start love smile face hearteyes,1
good,1
look good I love design look premium,1
really worth money I love wireless fm fast charging charger decent ram inbuilt memory triple slot really great love redmi,1
budget segment good phone,1
buy phone need decide buy I buy value money back amazing hardwarei find single reason disappoint devicefew observation real time mobile user tecchie 1 butter smooth os2 4 gb ram 1 gb ram usually free lag app crash once3 decent cam great low light4 plenty storage 55 gb 64gigs version5 loud speakers6 great music pe,1
great phone snapdragon 675 perform well glass build design make great smart phonefeel premium hand,1
wow nice mobile good performanceexcellent deliver flipkartand simple super budget user,1
good,1
superb phone superb battery well 9a,1
good phone I see,1
awesome till nowcamera quality gooddisplay also markbattery performance analyse properly till randomly goodspeed good overall good phone make purchasei buy april 2019 rs 6999 headphone redmii provide I think,1
review day usage 6 gb 128 gb modelpros1 processor ram rom option nice2 front camera excellent3 pretty compact come handy4 gorilla glass front back5 android one good option come minimum change original android6 nice color option white lovely7 add 35 mm jack available mi a28 ir blaster handy option controll many device homecons1 display 720p g,1
nice mobile tqs flipkart,1
awesome purchase thank flipkart,1
mobil model super sila neram hang ahuthu menu sikkirama vara madenguthu hetpon mattitu kalatuna incoming call lam ketka madenguthu antha hetpone simple apdiye irukku poha madenguthu,1
good,1
awesome phone mi camera click awesome extrrem level battery backup nice ok hand ok hand ok hand ok hand ok hand one think buy phone performance goodit one good camera phone price range thank flipcart handshake handshake handshake handshake,1
I get mi 4i yesterday people complain heating problem luckily I see heating problem device perfect u r heavy gamer phone heat include iphone I fall love look mobile light slim super sexy I love itmi 4i run perfectly 4 g sim 4 g sim enjoy good speed 3 g sim give I little glitch last night run good 4 g may nee,1
nice producti would like recommend product everyone want buy phone gaming camera love heart exclamationthank,1
nice sad,1
good product,1
nice,1
happy,1
original product,1
deliver 1 day expect deliverynice 2ndly mobile lil heavy weight well build quality battery backup good support jio screen good overall camera quality also good fingerprint work good internal 64 gb 4 gb ram cool overall good product good buy,1
nice phone light weighti like,1
pro good camera install gcam port take excellent pic low light speaker loud good battery backup normal use I play heavy game say performance handle daily task easecon heavy glass back make phone look good buy add weight average screen quality backlight leakage apparent side could well quality screen ad app miui I like adsmy priority good camera phon,1
awesome mobile I gift mom,1
bad advice go samsung,1
ameze,1
nice,1
great phone,1
fast delivery good delivery boy,1
awesome phoneenough battery lifevery good camera could find dual camera setting set shoot phoneselfie cam also goodone good phone range,1
super,1
amazing face blow kiss face blow kiss face blow kiss,1
look slime camera quality nice performance good,1
good one,1
super,1
good performance till,1
good,1
osm,1
nice mobile,1
nice product range,1
good phone value money back camera good selfie camera good,1
buy momserve purposegreat option budget,1
good,1
nice,1
camera redmi note 6 pro simply awesome great experience capture image indoor outdoor lighting condition way capture image wonderful battery life display good enough price segment good cellphone 16k,1
good,1
phone amazingvalue money smartphonexiaomi great work work indian need highly impressed photo amazing I resist self appreciate masterpiece,1
complete phone insane gaming performance stylish look great camera buttery smooth performance come reasonable price,1
I use 6 day I love red heart,1
value money product,1
business phone gaming screen battery quite good screen look like normal,1
recommend,1
nice product,1
every thing osm amazing set make mi,1
absolutely,1
great phonecamera could well heating issue charge make heat rather quick otherwise stellar performance,1
nice,1
rare combination low price superb feature awesome mobile 6999 deal decent specification 135 mp camera quad core processor 3 gb ram 32 gb internal memory 5hd display android 6 topping miui 80 light weight 3000 mah battery top 4 g volte feature lot feature mi service assurance brand value fast reliable delivery service flipcart rs6999 ok handgograb thumb,1
amazing phone price,1
good,1
nice product,1
nice,1
expect everything smooth fluid xiaomi product litterly budget smartphone king lastly I would like tell build quality great I personally like black onethank u redmi flipkart well awesome product,1
good product,1
look beautiful awesome mobilepaisa usul ho gaiyasuch mein,1
nice mobile nice battery also performance,1
ok,1
nice product redmi phone useful normal people camera quality comparatively good new phone,1
good,1
worthy price premium feel samsung s7 lag amount app usage redmi clock right come performance I really fond display sizevery handy size screen,1
software lag smtime hang,1
excellent,1
good one,1
I love product smile face heart smile face heart smile face heart,1
nice,1
good,1
nice phone light weight,1
nicely phone,1
nice mobile,1
mm phone nice,1
wounderful,1
good phone low price thank mi,1
good,1
overall good I doubt camera,1
good move xiaomi kind phonepros1 excellent hand feeling due lightweight slim2 pleasure watch video screen quality good 90 hz 120 hz seem gimmick normal use judge difference3 camera quality decent natural color tone 4 charging really fast battery last 1 day moderate use5 add till need disable recommendation individual app micons1 cost seem little high,1
nice handset,1
nice good look phone feature wise good one,1
I use phone since two week I want say go go negative comment absolutely beast price range camera also quite decent look wise awesome performance steady fast camera backup goodonly drawback water resistant,1
beautiful,1
good product,1
ultimate mobile really need good camera buy one g cam run good mi cam phone run miui run android one pure stock android phone inbuilt applock feature like mi phone,1
nice camera battery nice thank flipkart,1
use phone day I must say camera performance good battery backup quite good screen resolution amazing price segmentyou easily take good picture portrait mode well normal camera mode portrait mode quite good edge detection goodif want buy phone camera purpose go itthe important processor amazing see single lag daily u,1
nothing say product good price people say know thing processor work,1
good product,1
good phone price range must buy camera performance display sound perfect flagship camera dslr type pic,1
midrange,1
excellent,1
sopar,1
good mobile work camera photo,1
superb,1
good nice processing system bettary performance well,1
good,1
nice,1
awesome handy set stylish design high resolution camerathis one good purchase flipkart mine uh like xiaomi go,1
battery performance marvellous,1
amazing phoneamaze battery lifeuse 2 year issue,1
