/sentence/#id,/sentence/@id,Category,/sentence/aspectTerms/aspectTerm/@from,Polarity,Term,/sentence/aspectTerms/aspectTerm/@to,Text
389,1942,ROOMS_AMENITIES#CLEANLINESS,45,negative,مناشف,50,مقزز سكاكين وشوك غير نظيفة وأكواب غير نظيفة ومناشف رائحتها رطبةً وانتهى بي الحال في المستشفى مصابة بتسمم غذائي بسبب هذا الفندق
390,1942,SERVICE#GENERAL,13,negative,عمال خدمة الغرف,28,إضافة إلى أن عمال خدمة الغرف سرقوا منا بعض النقود.
391,1942,HOTEL#GENERAL,13,negative,الفندق,19,لن أوصي بهذا الفندق لأي شخص إنه مكان مخز يحتاج إلى إدارة جديدة وتحديث جديد أو مجرد الإغلاق.
391,1942,HOTEL#GENERAL,51,negative,إدارة,56,لن أوصي بهذا الفندق لأي شخص إنه مكان مخز يحتاج إلى إدارة جديدة وتحديث جديد أو مجرد الإغلاق.
391,1942,HOTEL#QUALITY,0,negative,NULL,0,لن أوصي بهذا الفندق لأي شخص إنه مكان مخز يحتاج إلى إدارة جديدة وتحديث جديد أو مجرد الإغلاق.
392,1198,HOTEL#GENERAL,33,positive,الفندق,39,رحلة لا تُنسى  حسنا لقد قمت بحجز الفندق من خلال ياترا. كانت الرحلة تحمل أهمية كبيرة حيث أنني كنت أود أن أقترح الزواج على صديقتي. لذلك قمت بحجز الفندق. ولكن الذي جعل هذه الرحلة أكثر جمالا هو الفندق الجميل.
393,1198,ROOMS#DESIGN_FEATURES,0,positive,الغرف,5,الغرف كانت واسعة. فندق راق بالفعل
393,1198,HOTEL#QUALITY,18,positive,فندق,22,الغرف كانت واسعة. فندق راق بالفعل
394,1198,HOTEL#GENERAL,12,positive,بإقامتي,19,لقد استمتعت بإقامتي تماما. كان موظفو خدمة الغرف فعالين حقا وكذلك الموظفين الآخرين. لقد عملوا كمحترفين بالفعل.
394,1198,SERVICE#GENERAL,31,positive,موظفو خدمة الغرف,47,لقد استمتعت بإقامتي تماما. كان موظفو خدمة الغرف فعالين حقا وكذلك الموظفين الآخرين. لقد عملوا كمحترفين بالفعل.
394,1198,SERVICE#GENERAL,65,positive,الموظفين,73,لقد استمتعت بإقامتي تماما. كان موظفو خدمة الغرف فعالين حقا وكذلك الموظفين الآخرين. لقد عملوا كمحترفين بالفعل.
394,1198,SERVICE#GENERAL,93,positive,كمحترفين,101,لقد استمتعت بإقامتي تماما. كان موظفو خدمة الغرف فعالين حقا وكذلك الموظفين الآخرين. لقد عملوا كمحترفين بالفعل.
395,224,HOTEL#PRICES,0,positive,قيمة,4,"قيمة رائعة، موقع جيد، إفطار ممتاز  يقع على بعد 10 دقائق سيراً على الأقدام من بلازا مايور Plaza Mayor. حي يضج بالحياة وفيه محلات تجارية إسبانية أصلية."
395,224,LOCATION#GENERAL,12,neutral,موقع,16,"قيمة رائعة، موقع جيد، إفطار ممتاز  يقع على بعد 10 دقائق سيراً على الأقدام من بلازا مايور Plaza Mayor. حي يضج بالحياة وفيه محلات تجارية إسبانية أصلية."
395,224,FOOD_DRINKS#QUALITY,22,positive,إفطار,27,"قيمة رائعة، موقع جيد، إفطار ممتاز  يقع على بعد 10 دقائق سيراً على الأقدام من بلازا مايور Plaza Mayor. حي يضج بالحياة وفيه محلات تجارية إسبانية أصلية."
396,224,ROOMS#GENERAL,5,neutral,الغرف,10,"كانت الغرف مجهزة جيداً. الغرف بالقرب من المصعد كانت صاخبة قليلاً ولكن تغيير الغرفة لم يكن مشكلة،"
396,224,ROOMS#DESIGN_FEATURES,24,negative,الغرف,29,"كانت الغرف مجهزة جيداً. الغرف بالقرب من المصعد كانت صاخبة قليلاً ولكن تغيير الغرفة لم يكن مشكلة،"
397,224,SERVICE#GENERAL,0,positive,موظفون,6,"موظفون ودودون ومتعاونون، واي فاي مجاني"
397,224,FACILITIES#PRICES,25,positive,واي فاي,32,"موظفون ودودون ومتعاونون، واي فاي مجاني"
398,2136,LOCATION#GENERAL,0,negative,NULL,0,"يقع على جبل لذا فمن الصعب للغاية السير إليه من أي مكان أسفل الشارع،"
399,2136,ROOMS_AMENITIES#QUALITY,2,negative,ثلاجة,7,"، ثلاجة سيئة وطعام رخيص وخدمة رخيصة كذلك ومكيف هواء ضعيف وليس نظيف تماماً، لا توجد خيارات كثيرة لمشاهدة التلفاز جهاز التحكم عن بُعد محطم وكذلك الهاتف."
399,2136,FOOD_DRINKS#QUALITY,14,negative,طعام,18,"، ثلاجة سيئة وطعام رخيص وخدمة رخيصة كذلك ومكيف هواء ضعيف وليس نظيف تماماً، لا توجد خيارات كثيرة لمشاهدة التلفاز جهاز التحكم عن بُعد محطم وكذلك الهاتف."
399,2136,LOCATION#GENERAL,25,negative,خدمة,29,"، ثلاجة سيئة وطعام رخيص وخدمة رخيصة كذلك ومكيف هواء ضعيف وليس نظيف تماماً، لا توجد خيارات كثيرة لمشاهدة التلفاز جهاز التحكم عن بُعد محطم وكذلك الهاتف."
399,2136,ROOMS_AMENITIES#QUALITY,42,negative,مكيف,46,"، ثلاجة سيئة وطعام رخيص وخدمة رخيصة كذلك ومكيف هواء ضعيف وليس نظيف تماماً، لا توجد خيارات كثيرة لمشاهدة التلفاز جهاز التحكم عن بُعد محطم وكذلك الهاتف."
399,2136,ROOMS_AMENITIES#MISCELLANEOUS,112,negative,جهاز التحكم,123,"، ثلاجة سيئة وطعام رخيص وخدمة رخيصة كذلك ومكيف هواء ضعيف وليس نظيف تماماً، لا توجد خيارات كثيرة لمشاهدة التلفاز جهاز التحكم عن بُعد محطم وكذلك الهاتف."
400,937,HOTEL#GENERAL,4,positive,للإقامة,11,جيد للإقامة في شيملا
401,937,LOCATION#GENERAL,17,positive,للإقامة,24,"هناك أسباب كثيرة للإقامة في لاند ماك في شيملا على بُعد مسافة سير من  ذا مول ، وهو مركز التسوق في شيملا بالقرب من الطريق والسكك الحديدية."
401,937,LOCATION#GENERAL,82,positive,مركز التسوق,93,"هناك أسباب كثيرة للإقامة في لاند ماك في شيملا على بُعد مسافة سير من  ذا مول ، وهو مركز التسوق في شيملا بالقرب من الطريق والسكك الحديدية."
402,937,LOCATION#GENERAL,4,positive,موقع,8,وهو موقع جيد لكي تستمتع بإطلالة شاملة على مدرج الطائرات والاستمتاع بأطعمة شيملا الجيدة.
402,937,LOCATION#GENERAL,25,positive,إطلالة,31,وهو موقع جيد لكي تستمتع بإطلالة شاملة على مدرج الطائرات والاستمتاع بأطعمة شيملا الجيدة.
402,937,FOOD_DRINKS#MISCELLANEOUS,68,positive,أطعمة,73,وهو موقع جيد لكي تستمتع بإطلالة شاملة على مدرج الطائرات والاستمتاع بأطعمة شيملا الجيدة.
403,937,HOTEL#GENERAL,29,positive,إقامة,34,أقم هنا لكي تنعم بالاسترخاء. إقامة سعيدة في شيملا
403,937,HOTEL#COMFORT,0,positive,NULL,0,أقم هنا لكي تنعم بالاسترخاء. إقامة سعيدة في شيملا
404,1222,LOCATION#GENERAL,46,positive,البحر الأحمر,58,"عطلة رائعة  إنه مخيم أكواخ على الشاطئ على طول البحر الأحمر شمال مدينة نويبع.- إنه هادئ جداً، حوالي 28 كوخاً من أكواخ الشاطئ مع فرش وأغطية وشبكة للناموس."
404,1222,HOTEL#COMFORT,127,positive,فرش,130,"عطلة رائعة  إنه مخيم أكواخ على الشاطئ على طول البحر الأحمر شمال مدينة نويبع.- إنه هادئ جداً، حوالي 28 كوخاً من أكواخ الشاطئ مع فرش وأغطية وشبكة للناموس."
404,1222,ROOMS_AMENITIES#GENERAL,132,positive,أغطية,137,"عطلة رائعة  إنه مخيم أكواخ على الشاطئ على طول البحر الأحمر شمال مدينة نويبع.- إنه هادئ جداً، حوالي 28 كوخاً من أكواخ الشاطئ مع فرش وأغطية وشبكة للناموس."
404,1222,ROOMS_AMENITIES#GENERAL,138,positive,وشبكة للناموس,151,"عطلة رائعة  إنه مخيم أكواخ على الشاطئ على طول البحر الأحمر شمال مدينة نويبع.- إنه هادئ جداً، حوالي 28 كوخاً من أكواخ الشاطئ مع فرش وأغطية وشبكة للناموس."
404,1222,ROOMS_AMENITIES#GENERAL,0,positive,NULL,0,"عطلة رائعة  إنه مخيم أكواخ على الشاطئ على طول البحر الأحمر شمال مدينة نويبع.- إنه هادئ جداً، حوالي 28 كوخاً من أكواخ الشاطئ مع فرش وأغطية وشبكة للناموس."
405,1222,FACILITIES#GENERAL,0,negative,دورات المياه,12,دورات المياه المشتركة والحمامات نظيفة جداً ومكان جميل للجلوس وتناول بعض المأكولات الرائعة.
405,1222,ROOMS#CLEANLINESS,23,positive,الحمامات,31,دورات المياه المشتركة والحمامات نظيفة جداً ومكان جميل للجلوس وتناول بعض المأكولات الرائعة.
405,1222,LOCATION#GENERAL,44,positive,مكان,48,دورات المياه المشتركة والحمامات نظيفة جداً ومكان جميل للجلوس وتناول بعض المأكولات الرائعة.
405,1222,FOOD_DRINKS#QUALITY,72,positive,المأكولات,81,دورات المياه المشتركة والحمامات نظيفة جداً ومكان جميل للجلوس وتناول بعض المأكولات الرائعة.
406,1222,SERVICE#GENERAL,14,positive,موظفوه,20,"المالك سلامة وموظفوه متعاونون ومضيافون. سيرونك أفضل مناطق الغطس، ويمكنهم تنظيم رحلات غوص كذلك. ملاذٌ مثالي."
406,1222,SERVICE#GENERAL,31,positive,مضيافون,38,"المالك سلامة وموظفوه متعاونون ومضيافون. سيرونك أفضل مناطق الغطس، ويمكنهم تنظيم رحلات غوص كذلك. ملاذٌ مثالي."
406,1222,FACILITIES#GENERAL,52,positive,مناطق الغطس,63,"المالك سلامة وموظفوه متعاونون ومضيافون. سيرونك أفضل مناطق الغطس، ويمكنهم تنظيم رحلات غوص كذلك. ملاذٌ مثالي."
406,1222,LOCATION#GENERAL,95,positive,ملاذٌ,100,"المالك سلامة وموظفوه متعاونون ومضيافون. سيرونك أفضل مناطق الغطس، ويمكنهم تنظيم رحلات غوص كذلك. ملاذٌ مثالي."
407,2216,HOTEL#GENERAL,0,negative,أدارة الفندق,12,أدارة الفندق غير مسئولة قمنا بحجز 5 غرف فى فترة العيد عن طريق احد المواقع وعلى الرغم من ان الشركة التى قامت بالحجز فى الفندق قامت بالألتزام بالسداد وارسال الأسماء .
407,2216,FACILITIES#GENERAL,91,positive,الشركة,97,أدارة الفندق غير مسئولة قمنا بحجز 5 غرف فى فترة العيد عن طريق احد المواقع وعلى الرغم من ان الشركة التى قامت بالحجز فى الفندق قامت بالألتزام بالسداد وارسال الأسماء .
408,2216,SERVICE#GENERAL,52,negative,الميانى,59,قام الفندق بإلغاء الحجز .. بسبب ان هناك شروخ فى احد الميانى وان الفندق غير امن وكان رد مدير الفندق استاذ هشام غير مسئول على الأطلاق....
408,2216,HOTEL#QUALITY,4,negative,الفندق,10,قام الفندق بإلغاء الحجز .. بسبب ان هناك شروخ فى احد الميانى وان الفندق غير امن وكان رد مدير الفندق استاذ هشام غير مسئول على الأطلاق....
408,2216,SERVICE#GENERAL,87,negative,مدير الفندق,98,قام الفندق بإلغاء الحجز .. بسبب ان هناك شروخ فى احد الميانى وان الفندق غير امن وكان رد مدير الفندق استاذ هشام غير مسئول على الأطلاق....
409,134,SERVICE#GENERAL,26,positive,خدمة,30,ايام روعه فى لاجونا فيزتا خدمة ممتازه جدا _غرف فى قمه فى النظافه -اسقف عالى ذو خبره عاليه -راحه ممتازه - مناظر طبيعه اداره متفاهمه جدا -حمامات السباحه نظيفه جدا و واسعه -
409,134,ROOMS#CLEANLINESS,43,positive,غرف,46,ايام روعه فى لاجونا فيزتا خدمة ممتازه جدا _غرف فى قمه فى النظافه -اسقف عالى ذو خبره عاليه -راحه ممتازه - مناظر طبيعه اداره متفاهمه جدا -حمامات السباحه نظيفه جدا و واسعه -
409,134,ROOMS#DESIGN_FEATURES,66,positive,اسقف,70,ايام روعه فى لاجونا فيزتا خدمة ممتازه جدا _غرف فى قمه فى النظافه -اسقف عالى ذو خبره عاليه -راحه ممتازه - مناظر طبيعه اداره متفاهمه جدا -حمامات السباحه نظيفه جدا و واسعه -
409,134,SERVICE#GENERAL,91,positive,راحه,95,ايام روعه فى لاجونا فيزتا خدمة ممتازه جدا _غرف فى قمه فى النظافه -اسقف عالى ذو خبره عاليه -راحه ممتازه - مناظر طبيعه اداره متفاهمه جدا -حمامات السباحه نظيفه جدا و واسعه -
409,134,FACILITIES#CLEANLINESS,136,positive,حمامات السباحه,150,ايام روعه فى لاجونا فيزتا خدمة ممتازه جدا _غرف فى قمه فى النظافه -اسقف عالى ذو خبره عاليه -راحه ممتازه - مناظر طبيعه اداره متفاهمه جدا -حمامات السباحه نظيفه جدا و واسعه -
410,134,FOOD_DRINKS#QUALITY,0,positive,الاكل,5,الاكل نظافه عاليه و شيفات خبره عاليه -البار محترفين فى عامل الكوكتيلات
411,507,LOCATION#GENERAL,0,positive,موقع,4,"موقع جيد جدا هذا الفندق هو فندق موفر، رخيص جدا، موقعه ممتاز مع منظر رائع جدا مباشرة على البحر الأحمر، انه جيد جدا للغطس والغوص لرؤية الحياة الجميلة تحت الماء كما به مركز غطس للمساعدة."
411,507,HOTEL#PRICES,19,positive,فندق,23,"موقع جيد جدا هذا الفندق هو فندق موفر، رخيص جدا، موقعه ممتاز مع منظر رائع جدا مباشرة على البحر الأحمر، انه جيد جدا للغطس والغوص لرؤية الحياة الجميلة تحت الماء كما به مركز غطس للمساعدة."
411,507,LOCATION#GENERAL,48,positive,موقع,52,"موقع جيد جدا هذا الفندق هو فندق موفر، رخيص جدا، موقعه ممتاز مع منظر رائع جدا مباشرة على البحر الأحمر، انه جيد جدا للغطس والغوص لرؤية الحياة الجميلة تحت الماء كما به مركز غطس للمساعدة."
411,507,LOCATION#GENERAL,63,positive,منظر,67,"موقع جيد جدا هذا الفندق هو فندق موفر، رخيص جدا، موقعه ممتاز مع منظر رائع جدا مباشرة على البحر الأحمر، انه جيد جدا للغطس والغوص لرؤية الحياة الجميلة تحت الماء كما به مركز غطس للمساعدة."
412,507,FACILITIES#GENERAL,4,positive,حمام سباحة,14,فيه حمام سباحة جميل مع بار صغير ومطعم ذو بوفيه مفتوح جميل للإفطار مع خدمة جيدة. فأغلب الغرف بها منظر على البحر!
412,507,FACILITIES#QUALITY,33,positive,مطعم,37,فيه حمام سباحة جميل مع بار صغير ومطعم ذو بوفيه مفتوح جميل للإفطار مع خدمة جيدة. فأغلب الغرف بها منظر على البحر!
412,507,SERVICE#GENERAL,69,neutral,خدمة,73,فيه حمام سباحة جميل مع بار صغير ومطعم ذو بوفيه مفتوح جميل للإفطار مع خدمة جيدة. فأغلب الغرف بها منظر على البحر!
412,507,LOCATION#GENERAL,105,positive,البحر,110,فيه حمام سباحة جميل مع بار صغير ومطعم ذو بوفيه مفتوح جميل للإفطار مع خدمة جيدة. فأغلب الغرف بها منظر على البحر!
413,278,LOCATION#GENERAL,0,positive,مكان,4,مكان لطيف و جميل المكان ممتاز و هادئ . مع توافر جميع سبل الراحة .
413,278,LOCATION#GENERAL,17,positive,المكان,23,مكان لطيف و جميل المكان ممتاز و هادئ . مع توافر جميع سبل الراحة .
414,278,SERVICE#GENERAL,51,positive,تعامل,56,و النظام داخل المكان هو من أكثر ما ابهرني . كما أن تعامل صاحب هذا المكان تعامل راقي و مهذب و كريم . لذلك انصح كل من يبحث عن مكان في روما أن لا يتردد في اختيار هذا المكان لأنه و ببساطة سيجد فيه كل ما يحتاجه و بسعر مغري جداً
415,1101,HOTEL#GENERAL,115,positive,الفندق,121,من اجمل الفنادق تنقلت بحكم عملى كطبيب فى كثير من الفنادق داخل مصر و الدول العربيه و الاوروبيه فى المؤتمرات . يتميز الفندق بالبساطه و الهدوء و الاسترخاء .
416,1101,SERVICE#GENERAL,0,positive,فريق العمل,10,فريق العمل يعمل على راحة النزلاء بداية من عامل الانتظار و حتى مدير الفندق .
417,1101,FACILITIES#GENERAL,0,positive,المطعم,6,المطعم يتميز بالمنظر الجميل على البحر و الاهتمام بالنظافه و طعم الاكل الجميل . جزيل الشكر للاستاذه شيرين البقلى و كامل فريق العمل بالفندق
417,1101,FOOD_DRINKS#QUALITY,64,positive,الاكل,69,المطعم يتميز بالمنظر الجميل على البحر و الاهتمام بالنظافه و طعم الاكل الجميل . جزيل الشكر للاستاذه شيرين البقلى و كامل فريق العمل بالفندق
417,1101,SERVICE#GENERAL,114,positive,كامل فريق,123,المطعم يتميز بالمنظر الجميل على البحر و الاهتمام بالنظافه و طعم الاكل الجميل . جزيل الشكر للاستاذه شيرين البقلى و كامل فريق العمل بالفندق
418,2104,FOOD_DRINKS#QUALITY,0,negative,طعام,4,طعام رديء  هذا الفندق تحتاج إلى تغيير في الإدارة حيث إن الطعام في غاية السوء لدرجة أن بعض الموظفين لم يكونوا يتناولون طعامهم في الفندق ونتيجة لذلك بالإضافة إلى عدم وجود أي ترفيه فإنني بالتأكيد لن أعود إلى هذا الفندق مرة أخرى.
418,2104,FOOD_DRINKS#QUALITY,56,negative,الطعام,62,طعام رديء  هذا الفندق تحتاج إلى تغيير في الإدارة حيث إن الطعام في غاية السوء لدرجة أن بعض الموظفين لم يكونوا يتناولون طعامهم في الفندق ونتيجة لذلك بالإضافة إلى عدم وجود أي ترفيه فإنني بالتأكيد لن أعود إلى هذا الفندق مرة أخرى.
419,1692,HOTEL#PRICES,30,positive,موقع,34,"فندق ديانا قيمة رائعة للنقود، موقع ممتاز على البحر مباشرة وحرفيا 20 خطوة لتصل للمياه وبعض الغطس الرائع."
419,1692,LOCATION#GENERAL,0,positive,NULL,0,"فندق ديانا قيمة رائعة للنقود، موقع ممتاز على البحر مباشرة وحرفيا 20 خطوة لتصل للمياه وبعض الغطس الرائع."
420,1692,SERVICE#GENERAL,0,positive,الطاقم,6,"الطاقم مستعد دائما للمساعدة في الجولات او وسائل النقل، لطيفون للغاية"
421,1692,ROOMS#CLEANLINESS,0,positive,الحجر,5,الحجر نظيفة ومريحة
421,1692,ROOMS#COMFORT,0,positive,NULL,0,الحجر نظيفة ومريحة
422,1692,FOOD_DRINKS#STYLE_OPTIONS,15,negative,الكحول,21,انهم لا يقدمون الكحول ولكن يمكنك أن تشتريه وتحتفظ به في البار الصغير الخاص بك.
423,1692,FACILITIES#QUALITY,0,positive,مطاعم,5,مطاعم ممتازة على المنتزه وفي الشوارع الخلفية على بعد مسافة سير قصيرة. حمام سباحة رائع ومنطقة للاسترخاء
423,1692,FACILITIES#GENERAL,17,positive,المنتزه,24,مطاعم ممتازة على المنتزه وفي الشوارع الخلفية على بعد مسافة سير قصيرة. حمام سباحة رائع ومنطقة للاسترخاء
423,1692,FACILITIES#QUALITY,70,positive,حمام سباحة,80,مطاعم ممتازة على المنتزه وفي الشوارع الخلفية على بعد مسافة سير قصيرة. حمام سباحة رائع ومنطقة للاسترخاء
423,1692,FACILITIES#GENERAL,87,positive,منطقة,92,مطاعم ممتازة على المنتزه وفي الشوارع الخلفية على بعد مسافة سير قصيرة. حمام سباحة رائع ومنطقة للاسترخاء
424,2089,HOTEL#GENERAL,0,negative,NULL,0,لن نقيم في إف وان مرة أخرى
425,2089,ROOMS#COMFORT,12,negative,الأسرّة,19,"مزدحم جداً والأسرّة مثل الخرسانة الإسمنتية... لن أعود مرة أخرى. لا يمكنك تغيير الحجز في حال تغيير ترتيبات السفر لأي سبب (بما في ذلك إلغاء رحلة الطيران). أدنى مستوى للإقامة، رخيص ولكن موقعه جيد."
425,2089,HOTEL#PRICES,173,positive,رخيص,177,"مزدحم جداً والأسرّة مثل الخرسانة الإسمنتية... لن أعود مرة أخرى. لا يمكنك تغيير الحجز في حال تغيير ترتيبات السفر لأي سبب (بما في ذلك إلغاء رحلة الطيران). أدنى مستوى للإقامة، رخيص ولكن موقعه جيد."
425,2089,LOCATION#GENERAL,183,positive,موقعه,188,"مزدحم جداً والأسرّة مثل الخرسانة الإسمنتية... لن أعود مرة أخرى. لا يمكنك تغيير الحجز في حال تغيير ترتيبات السفر لأي سبب (بما في ذلك إلغاء رحلة الطيران). أدنى مستوى للإقامة، رخيص ولكن موقعه جيد."
426,794,HOTEL#GENERAL,0,positive,فندق,4,"فندق مميز ومعظم موظفيه يتمتعون باخلاق عاليه،،"
427,794,FACILITIES#GENERAL,0,positive,الكلوب,6,"الكلوب هي المميزه فقط... و مطعم برج الحمام مميز .. ،"
427,794,FACILITIES#GENERAL,27,positive,مطعم,31,"الكلوب هي المميزه فقط... و مطعم برج الحمام مميز .. ،"
428,794,ROOMS#COMFORT,47,negative,الغرف,52,اتمنى منع التدخين مستقبلا في لوبي الفندق ومعظم الغرف لما تسببه من ازعاج للمقيمين
429,794,SERVICE#GENERAL,0,positive,NULL,0,شكر وتقدير للانسة ( سارة) من قسم الأمن.. والسيد (احمد الصمادي)
430,1907,HOTEL#GENERAL,4,negative,نظافة,9,سيء نظافة الغرفة سيئة جدا..وجودة الغرفة رديئة حيث اني اقامتي في السابق كانت افضل من حيث الخدمة والنظافة وتم تأخيري في الدخول
430,1907,ROOMS#CLEANLINESS,10,negative,الغرفة,16,سيء نظافة الغرفة سيئة جدا..وجودة الغرفة رديئة حيث اني اقامتي في السابق كانت افضل من حيث الخدمة والنظافة وتم تأخيري في الدخول
430,1907,ROOMS#QUALITY,88,negative,الخدمة,94,سيء نظافة الغرفة سيئة جدا..وجودة الغرفة رديئة حيث اني اقامتي في السابق كانت افضل من حيث الخدمة والنظافة وتم تأخيري في الدخول
430,1907,SERVICE#GENERAL,96,negative,النظافة,103,سيء نظافة الغرفة سيئة جدا..وجودة الغرفة رديئة حيث اني اقامتي في السابق كانت افضل من حيث الخدمة والنظافة وتم تأخيري في الدخول
430,1907,HOTEL#CLEANLINESS,0,negative,NULL,0,سيء نظافة الغرفة سيئة جدا..وجودة الغرفة رديئة حيث اني اقامتي في السابق كانت افضل من حيث الخدمة والنظافة وتم تأخيري في الدخول
430,1907,HOTEL#GENERAL,0,negative,NULL,0,سيء نظافة الغرفة سيئة جدا..وجودة الغرفة رديئة حيث اني اقامتي في السابق كانت افضل من حيث الخدمة والنظافة وتم تأخيري في الدخول
431,1907,SERVICE#GENERAL,59,negative,التعامل,66,وبالنسبة لموظفي الاستقبال فان بعض موظفي الاستقبال سيئين في التعامل وبخاصة الموظفة الهندية حيث انها غير لبقة في التعامل وتسيء احترام النزلاء
432,1811,HOTEL#QUALITY,39,positive,السعر,44,مفاجأة! المستوى عالي جدًا بالنسبة لذلك السعر.
432,1811,HOTEL#PRICES,0,positive,NULL,0,مفاجأة! المستوى عالي جدًا بالنسبة لذلك السعر.
433,1811,ROOMS#QUALITY,0,positive,غرفة,4,"غرفة الضيوف جديدة وأثاثها جيد، مع مرافق حديثة. مجهزة بشكل جيد جدًا، وخدمة النقل والاستقبال كلاهما جيد."
433,1811,ROOMS#QUALITY,19,positive,أثاثها,25,"غرفة الضيوف جديدة وأثاثها جيد، مع مرافق حديثة. مجهزة بشكل جيد جدًا، وخدمة النقل والاستقبال كلاهما جيد."
433,1811,FACILITIES#QUALITY,34,positive,مرافق,39,"غرفة الضيوف جديدة وأثاثها جيد، مع مرافق حديثة. مجهزة بشكل جيد جدًا، وخدمة النقل والاستقبال كلاهما جيد."
433,1811,HOTEL#GENERAL,47,positive,مجهزة,52,"غرفة الضيوف جديدة وأثاثها جيد، مع مرافق حديثة. مجهزة بشكل جيد جدًا، وخدمة النقل والاستقبال كلاهما جيد."
433,1811,SERVICE#GENERAL,69,positive,خدمة,73,"غرفة الضيوف جديدة وأثاثها جيد، مع مرافق حديثة. مجهزة بشكل جيد جدًا، وخدمة النقل والاستقبال كلاهما جيد."
433,1811,SERVICE#GENERAL,81,positive,الاستقبال,90,"غرفة الضيوف جديدة وأثاثها جيد، مع مرافق حديثة. مجهزة بشكل جيد جدًا، وخدمة النقل والاستقبال كلاهما جيد."
434,1811,ROOMS_AMENITIES#PRICES,15,positive,القنوات التلفزيونية,34,"توجد العديد من القنوات التلفزيونية مجانًا، والإنترنت سريع جدًا!"
434,1811,SERVICE#GENERAL,44,positive,الإنترنت,52,"توجد العديد من القنوات التلفزيونية مجانًا، والإنترنت سريع جدًا!"
435,1811,LOCATION#GENERAL,13,positive,محطة مترو,22,"تقع أقرب قرب محطة مترو على بعد قرابة 10-15 دقيقة سيرًا على الأقدام، تعبر العديد من الشوارع لكن لا يصعب الوصول إليها (ضحكة)، ويوجد بالجوار مركز شرطة، لذا فالمكان آمن!"
435,1811,LOCATION#GENERAL,138,positive,مركز شرطة,147,"تقع أقرب قرب محطة مترو على بعد قرابة 10-15 دقيقة سيرًا على الأقدام، تعبر العديد من الشوارع لكن لا يصعب الوصول إليها (ضحكة)، ويوجد بالجوار مركز شرطة، لذا فالمكان آمن!"
435,1811,LOCATION#GENERAL,153,positive,فالمكان,160,"تقع أقرب قرب محطة مترو على بعد قرابة 10-15 دقيقة سيرًا على الأقدام، تعبر العديد من الشوارع لكن لا يصعب الوصول إليها (ضحكة)، ويوجد بالجوار مركز شرطة، لذا فالمكان آمن!"
436,343,HOTEL#GENERAL,47,positive,الفندق,53,"سمايا كان رائعًا أقمت مؤخرًا لمدة أسبوع في هذا الفندق الرائع، والطعام كان رائعًا وكانت الغرفة ممتازة وكانت السماء على الخليج صافية ... سوف أعود لزيارة الفندق مرات ومرات بالطبع. ..."
436,343,FOOD_DRINKS#QUALITY,63,positive,الطعام,69,"سمايا كان رائعًا أقمت مؤخرًا لمدة أسبوع في هذا الفندق الرائع، والطعام كان رائعًا وكانت الغرفة ممتازة وكانت السماء على الخليج صافية ... سوف أعود لزيارة الفندق مرات ومرات بالطبع. ..."
436,343,ROOMS#GENERAL,87,positive,الغرفة,93,"سمايا كان رائعًا أقمت مؤخرًا لمدة أسبوع في هذا الفندق الرائع، والطعام كان رائعًا وكانت الغرفة ممتازة وكانت السماء على الخليج صافية ... سوف أعود لزيارة الفندق مرات ومرات بالطبع. ..."
437,343,SERVICE#GENERAL,1,positive,فريق العمل,11,"وفريق العمل بالفندق ممتاز ومتعاون جدا لدرجة غير عاديةا. إذا أردنا أن نصف هذا الفندق في كلمة واحدة، فهو ممتاز."
437,343,HOTEL#GENERAL,13,positive,الفندق,19,"وفريق العمل بالفندق ممتاز ومتعاون جدا لدرجة غير عاديةا. إذا أردنا أن نصف هذا الفندق في كلمة واحدة، فهو ممتاز."
438,1788,FACILITIES#GENERAL,0,positive,منتجع,5,"منتجع رائع أقمنا هناك ثلاث ليالٍ في جناح بالطابق العلوي يطل على البحر وحمامات السباحة، مساحة شاسعة للغاية ومجهزة بأفضل الإمكانيات."
438,1788,LOCATION#GENERAL,64,positive,البحر,69,"منتجع رائع أقمنا هناك ثلاث ليالٍ في جناح بالطابق العلوي يطل على البحر وحمامات السباحة، مساحة شاسعة للغاية ومجهزة بأفضل الإمكانيات."
438,1788,FACILITIES#GENERAL,71,positive,حمامات السباحة,85,"منتجع رائع أقمنا هناك ثلاث ليالٍ في جناح بالطابق العلوي يطل على البحر وحمامات السباحة، مساحة شاسعة للغاية ومجهزة بأفضل الإمكانيات."
438,1788,FACILITIES#GENERAL,87,positive,مساحة,92,"منتجع رائع أقمنا هناك ثلاث ليالٍ في جناح بالطابق العلوي يطل على البحر وحمامات السباحة، مساحة شاسعة للغاية ومجهزة بأفضل الإمكانيات."
439,1788,FACILITIES#GENERAL,5,positive,حمامات السباحة,19,كانت حمامات السباحة رائعة على الرغم من كونها مزدحمة دائمًا (عطلة نهاية الأسبوع للمسلمين).
440,1788,FOOD_DRINKS#QUALITY,12,neutral,بوفيه,17,وكان اختيار بوفيه الإفطار جيدًا؛ والوجبات المسائية جيدة للغاية وكانت حسب الطلب. لم يكن البوفيه مثيرًا جدًا.
